time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Plot,Plot,Plot,Plot,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D
28-04-2015,8215.5498,8308,8185.1499,8285.5996,8259.583167,8259.583167,8259.583167,8501.949289,8575.358228,8503.594745,8186.32706,179966001,172083700.2,35.70880729,45.64774588,NaN,NaN,NaN,NaN,NaN,NaN,-40.80911098,-93.99901854,-53.18990756,15.22772913,7.530786093
29-04-2015,8274.7998,8308.2002,8219.2002,8239.75,8255.7168,8255.7168,8255.7168,8476.977928,8562.197121,8498.370097,8186.858632,165359993,170402750.1,33.93027957,44.10267648,NaN,NaN,NaN,NaN,NaN,NaN,-39.7069763,-102.8236279,-63.11665163,8.277133067,8.429044213
30-04-2015,8224.5,8229.4004,8144.75,8181.5,8185.2168,8185.2168,8185.2168,8448.837173,8547.267823,8492.095442,8186.805312,276024001,177259749.9,31.76562893,42.15639682,NaN,NaN,NaN,NaN,NaN,NaN,-40.07663078,-113.2124401,-73.13580933,5.249626527,9.584829576
04-05-2015,8230.0498,8346,8220.4502,8331.9502,8299.4668,8299.4668,8299.4668,8437.705081,8538.823994,8488.924249,8188.24954,135765000,175429799.6,42.04914733,40.9368182,NaN,NaN,NaN,NaN,NaN,NaN,-27.93929434,-108.0599273,-80.12063291,26.74098328,13.42258096
05-05-2015,8338.4004,8355.6504,8280.5996,8324.7998,8320.349933,8320.349933,8320.349933,8426.952197,8530.430889,8485.67426,8189.608249,160335004,176974199.7,41.72727708,39.48942159,NaN,NaN,NaN,NaN,NaN,NaN,-18.59310033,-103.3620083,-84.768908,25.71957024,19.23672668
06-05-2015,8316.5996,8331.9502,8083,8097,8170.650067,8170.650067,8170.650067,8395.528178,8513.433599,8477.97774,8188.686774,216089002,180209899.6,33.04811154,37.8894434,NaN,NaN,NaN,NaN,NaN,NaN,-25.52523505,-116.6754518,-91.15021676,2.067946824,18.17616678
07-05-2015,8077,8122.6001,7997.1499,8057.2998,8059.0166,8059.01675,8059.01645,8363.315952,8495.545999,8469.647483,8187.37944,166564004,180874850,31.80646668,36.42144498,NaN,NaN,NaN,NaN,NaN,NaN,-30.23466268,-128.9435451,-98.70888243,8.559830038,12.11578237
08-05-2015,8131.5,8224.9502,8123.4502,8191.5,8179.9668,8179.9668,8179.9668,8346.952528,8483.622626,8464.139612,8187.420441,188776006,182673650.2,40.01122662,35.99562415,NaN,NaN,NaN,NaN,NaN,NaN,-22.13723642,-126.3804279,-104.2431915,31.2058456,13.94454082
11-05-2015,8243.2002,8332.75,8224.6504,8325.25,8294.2168,8294.2168,8294.2168,8344.88562,8477.411935,8461.389323,8188.791879,197883003,184697450.2,46.87197747,36.62065191,NaN,NaN,NaN,NaN,NaN,NaN,-6.415478182,-112.2625393,-105.8470611,64.61203351,34.79256972
12-05-2015,8326.1504,8326.6504,8115.2998,8126.9502,8189.633467,8189.633467,8189.633467,8324.129866,8463.668338,8454.766766,8188.176539,178753995,186470800.3,39.63448599,36.93493794,NaN,NaN,NaN,NaN,NaN,NaN,-7.915117254,-115.7409576,-107.8258404,25.56128856,40.45972256
13-05-2015,8181.5498,8254.9502,8089.7998,8235.4502,8193.400067,8193.400067,8193.400067,8315.684183,8454.718607,8450.423864,8188.646924,175015002,188953300.3,44.66876518,37.34601948,NaN,NaN,NaN,NaN,NaN,NaN,-0.532894317,-108.4919583,-107.959064,46.92795573,45.70042594
14-05-2015,8232.4502,8236.25,8137.2998,8224.2002,8199.25,8199.25,8199.25,8306.971423,8445.678669,8445.944187,8189.000688,138963993,187472349.8,44.25663516,37.82677824,NaN,NaN,NaN,NaN,NaN,NaN,4.388368663,-102.4736031,-106.8619718,54.55973917,42.34966116
15-05-2015,8240.2998,8279.2002,8212.2002,8262.3496,8251.25,8251.25,8251.25,8302.721726,8438.489294,8442.308651,8189.730528,133837996,186800949.8,46.07362058,38.71118215,NaN,NaN,NaN,NaN,NaN,NaN,10.65172121,-93.5473203,-104.1990415,73.97470854,58.48746782
18-05-2015,8284.9502,8384.5996,8271.9502,8373.6504,8343.400067,8343.400067,8343.400067,8309.476838,8435.946592,8440.949082,8191.560576,153340002,186719050.3,51.08330768,40.18826693,NaN,NaN,NaN,NaN,NaN,NaN,22.07200822,-76.60903123,-98.68103945,97.17403317,75.2361603
19-05-2015,8356.2002,8427.7998,8335,8365.6504,8376.150067,8376.150067,8376.150067,8314.826701,8433.189879,8439.458019,8193.292813,144641999,186275500.2,50.71859327,41.2603945,NaN,NaN,NaN,NaN,NaN,NaN,28.46208662,-63.10343118,-91.56551779,85.56846292,85.57240155
20-05-2015,8392.6504,8440.3496,8391.4502,8423.25,8418.349933,8418.349933,8418.349933,8325.152729,8432.80008,8439.137068,8195.580945,127389000,171623400,53.30365526,42.64420705,NaN,NaN,NaN,NaN,NaN,NaN,35.48589161,-47.20815329,-82.69404489,96.14178439,92.96142683
21-05-2015,8434.5,8446.3496,8382.5,8421,8416.616533,8416.616533,8416.616533,8334.281041,8432.337331,8438.777918,8197.82392,148189004,170176550.2,53.18629115,44.17425436,NaN,NaN,NaN,NaN,NaN,NaN,38.6383635,-34.39609051,-73.03445402,94.35671929,92.0223222
