time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,Plot,Plot,Plot,Plot,Trailing Stop,Buy,Sell,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal,%K,%D
2024-10-15T11:21:00+05:30,25073.25,25075.05,25066.55,25066.95,25121.53829,25178.25455,25064.82202,25069.15153,25072.74916,25083.25676,25097.20338,25076.21356,0,0,368663,389612.15,47.10932538,45.9092526,NaN,NaN,NaN,NaN,NaN,NaN,0.256602016,-1.901832224,-2.158434239,32.8611898,45.13692162
2024-10-15T11:22:00+05:30,25066.75,25070,25064.55,25067.95,25121.34293,25178.0494,25064.63645,25069.0371,25072.56096,25082.95366,25096.9123,25076.21356,0,0,344276,383094.6,48.10346056,45.83461426,NaN,NaN,NaN,NaN,NaN,NaN,0.317101054,-1.762057921,-2.079158976,48.92086331,50.0180026
2024-10-15T11:23:00+05:30,25066.95,25067.8,25058.65,25060.05,25121.11455,25177.8303,25064.3988,25068.18118,25072.07034,25082.50012,25096.54552,25073.78369,0,0,368944,380395.45,41.4716854,45.44657637,NaN,NaN,NaN,NaN,NaN,NaN,-0.14680653,-2.262667138,-2.115860608,8.536585366,30.10621283
2024-10-15T11:24:00+05:30,25059.65,25059.85,25053.45,25053.45,25120.71266,25177.48523,25063.94009,25066.77821,25071.34013,25081.92487,25096.1167,25067.14264,0,0,589902,384376.5,36.89526761,44.92565991,NaN,NaN,NaN,NaN,NaN,NaN,-0.83178566,-3.155592683,-2.323807023,0,19.15248289
2024-10-15T11:25:00+05:30,25052.75,25054.75,25044.8,25047.9,25120.36959,25177.22121,25063.51798,25064.98029,25070.42091,25081.25111,25095.63694,25062.07013,0,0,463341,389951.4,33.54320398,44.31274116,NaN,NaN,33.54320398,NaN,NaN,NaN,-1.550516058,-4.261952096,-2.711436038,10.24793388,6.261506417
2024-10-15T11:26:00+05:30,25046.75,25055.15,25046.75,25053.25,25120.09514,25176.99814,25063.19214,25063.86312,25069.74754,25080.69663,25095.21518,25062.07013,0,0,387934,389537.95,39.27094767,43.94552921,NaN,NaN,NaN,NaN,NaN,NaN,-1.553577588,-4.653408022,-3.099830435,27.9338843,12.72727273
2024-10-15T11:27:00+05:30,25053.7,25057.6,25052.2,25056.8,25119.86564,25176.79723,25062.93405,25063.19044,25069.23979,25080.22343,25094.83294,25062.07013,0,0,346182,386145.75,42.79419806,43.89753223,NaN,NaN,NaN,NaN,NaN,NaN,-1.219242122,-4.623883087,-3.404640965,39.66942149,25.95041322
2024-10-15T11:28:00+05:30,25057.3,25057.9,25045.2,25046.1,25119.58741,25176.57673,25062.59809,25061.56278,25068.33235,25079.54772,25094.34803,25061.06704,0,0,387893,384279.95,36.01247459,42.87669003,NaN,NaN,NaN,NaN,NaN,NaN,-1.597581983,-5.401618444,-3.804036461,4.297520661,23.96694215
2024-10-15T11:29:00+05:30,25046.3,25052.3,25046.2,25048.75,25119.26445,25176.32206,25062.20684,25060.34251,25067.56441,25078.93786,25093.89432,25061.06704,0,0,449934,394287.55,38.60736051,42.42582687,NaN,NaN,NaN,NaN,NaN,NaN,-1.547172708,-5.738002346,-4.190829638,13.05785124,19.00826446
2024-10-15T11:30:00+05:30,25047.65,25049.35,25045.75,25048.7,25119.00657,25176.12163,25061.89151,25059.2337,25066.82463,25078.33909,25093.44462,25061.06704,0,0,356395,390829.55,38.5755739,42.07967499,NaN,NaN,NaN,NaN,NaN,NaN,-1.39945569,-5.940149251,-4.540693561,12.89256198,10.08264463
